дата;вопрос;категория;время_ответа;оценка;дефект
16.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;3,9;вода;Вода / нет прямого ответа
16.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;3,7;правильный;
16.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;3,4;правильный;
16.08.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;9,2;правильный;
16.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;7,9;частично верный;Пробел в базе знаний
16.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;6,9;правильный;
16.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,7;правильный;
16.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;5,7;правильный;
16.08.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;3,4;частично верный;Нет цифр
16.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);3,8;правильный;
16.08.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);6,2;вода;Вне тематики
16.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;6,1;правильный;
16.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;6,5;правильный;
16.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);5,9;вода;Повтор без улучшения
16.08.2026;Что будет за просрочку сдачи 910?;Прочее;6,5;правильный;
17.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;6,0;правильный;
17.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;4,0;правильный;
17.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);4,7;правильный;
17.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,9;правильный;
17.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;6,7;правильный;
17.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;4,8;правильный;
17.08.2026;Что будет за просрочку сдачи 910?;Прочее;6,2;правильный;
17.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;6,1;вода;Вне тематики
17.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,6;правильный;
17.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;9,3;частично верный;Противоречие в ответе
17.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;6,4;правильный;
17.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);6,3;правильный;
17.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;5,3;правильный;
17.08.2026;Как выставить ЭСФ?;НДС и пороги;4,3;правильный;
17.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;12,5;правильный;
17.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;5,6;правильный;
17.08.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);12,7;правильный;
17.08.2026;Как выставить ЭСФ?;НДС и пороги;6,9;частично верный;Противоречие в ответе
17.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;3,7;частично верный;Нет цифр
18.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,8;правильный;
18.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,7;правильный;
18.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;4,7;правильный;
18.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;4,5;правильный;
18.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;6,3;правильный;
18.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,5;правильный;
18.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;3,7;правильный;
18.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;10,9;правильный;
18.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,3;правильный;
18.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;4,1;частично верный;Пробел в базе знаний
18.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;4,5;правильный;
18.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;4,1;правильный;
18.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;3,9;вода;Вне тематики
18.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;6,5;правильный;
18.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,2;правильный;
18.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;3,6;частично верный;Противоречие в ответе
19.08.2026;Как выставить ЭСФ?;НДС и пороги;12,9;частично верный;Пробел в базе знаний
19.08.2026;Что будет за просрочку сдачи 910?;Прочее;5,9;правильный;
19.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);4,0;правильный;
19.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);4,6;правильный;
19.08.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;12,4;правильный;
19.08.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);4,5;правильный;
19.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;4,2;правильный;
19.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;5,0;правильный;
19.08.2026;Как оплатить налоги через приложение?;Прочее;5,2;ошибка;Устаревшая ставка (ИПН)
19.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);5,5;вода;Повтор без улучшения
19.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;4,1;частично верный;Противоречие в ответе
19.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;7,0;правильный;
19.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;6,9;вода;Повтор без улучшения
19.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;12,3;частично верный;Противоречие в ответе
19.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);4,4;правильный;
19.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);5,3;частично верный;Пробел в базе знаний
20.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,7;ошибка;Ошибка в цифрах
20.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);6,7;частично верный;Нет цифр
20.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;6,1;правильный;
20.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;6,2;частично верный;Противоречие в ответе
20.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;7,4;правильный;
20.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;6,4;вода;Повтор без улучшения
20.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;6,8;правильный;
20.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;4,5;правильный;
20.08.2026;Что будет за просрочку сдачи 910?;Прочее;5,8;правильный;
20.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,8;правильный;
20.08.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);4,6;правильный;
20.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);3,0;правильный;
20.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,2;правильный;
20.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;8,8;правильный;
20.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);4,6;правильный;
20.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,9;частично верный;Нет цифр
20.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;3,8;правильный;
20.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;3,5;ошибка;Устаревшая ставка (ИПН)
20.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);4,3;правильный;
20.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);5,6;вода;Повтор без улучшения
